City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,paita,-5.0892,-81.1144,294.47,80,14,3.01,PE,1674367192
276,goderich,43.7501,-81.7165,274.21,74,100,5.14,CA,1674367193
277,bambanglipuro,-7.95,110.2833,302.23,68,31,4.46,ID,1674367193
278,portobelo,9.55,-79.65,297.1,84,53,5.29,PA,1674367193
279,dwarka,22.2394,68.9678,293.15,43,0,7.45,IN,1674367193
280,andenes,69.3143,16.1194,278.14,75,100,10.8,NO,1674367193
281,sept-iles,50.2001,-66.3821,261.15,82,0,2.57,CA,1674367193
282,eskilstuna,59.3666,16.5077,267.03,97,21,1.08,SE,1674367194
283,tucumcari,35.1717,-103.725,273.12,68,73,0.85,US,1674367194
284,alice springs,-23.7,133.8833,306.9,15,30,3.09,AU,1674367194
285,corinto,37.9407,22.9573,283.09,78,20,1.79,GR,1674367194
286,harper,4.375,-7.7169,299.24,83,93,3.56,LR,1674367194
287,arraial do cabo,-22.9661,-42.0278,295.68,88,3,1.29,BR,1674367195
288,chokurdakh,70.6333,147.9167,232.67,99,98,3.3,RU,1674367195
289,cherskiy,68.75,161.3,228.36,99,58,1.1,RU,1674367195
290,barabai,-2.5833,115.3833,301.33,82,99,1.31,ID,1674367196
291,paamiut,61.994,-49.6678,265.31,85,100,8.82,GL,1674367196
292,puro,12.4841,123.3827,300.94,71,93,7.03,PH,1674367196
293,ribeira grande,38.5167,-28.7,289.14,83,5,6.26,PT,1674367196
294,punta de bombon,-17.1717,-71.7931,294.48,84,99,1.28,PE,1674367197
295,kandi,11.1342,2.9386,294.87,23,45,1.87,BJ,1674367197
296,airai,-8.9266,125.4092,294.67,71,79,1.25,TL,1674367197
297,bambous virieux,-20.3428,57.7575,301.05,83,40,4.63,MU,1674367197
298,arman,59.7,150.1667,250.12,85,100,3.03,RU,1674367197
299,tucuman,-26.8241,-65.2226,295.15,88,20,3.09,AR,1674367197
300,valdivia,-39.8142,-73.2459,284.2,99,5,0.89,CL,1674367198
301,port elizabeth,-33.918,25.5701,295.98,91,75,10.8,ZA,1674367198
302,puerto ayacucho,5.6639,-67.6236,298.38,65,86,2.53,VE,1674367198
303,pafos,34.7667,32.4167,283.03,62,0,3.09,CY,1674367198
304,igarka,67.4667,86.5833,253.16,75,100,11.45,RU,1674367198
